AQI_Value,CO_Value,Ozone_Value,NO2_Value,PM25_Value,SO2,AQI_Category,CO_Category_Good,CO_Category_Moderate,Ozone_Category_Good,Ozone_Category_Moderate,Ozone_Category_Unhealthy,Ozone_Category_Unhealthy for Sensitive Groups,Ozone_Category_Very Unhealthy,NO2_Category_Good,NO2_Category_Moderate,PM25_Category_L0,PM25_Category_L1,PM25_Category_L2,PM25_Category_L3,PM25_Category_L4,PM25_Category_L5
-0.541150562308903,0.0,0.535627086626773,0.3027162608553311,-0.3823085284600589,1.807806527101157,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
0.2139539377443753,0.0,-0.3580131199441208,0.3027162608553311,0.2572900957933681,0.95063902030507,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-0.2175343480003551,0.0,-1.1622893058579251,-0.2811292196476039,-0.1081948323514472,-0.5699278523903711,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.4332784908727203,0.0,-0.7154692025724784,-0.8649747001505389,-0.290937296423855,-1.056845945331507,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.1096622765641724,0.0,0.3568990453125942,-0.2811292196476039,-0.0168236003152434,2.4164195042591645,3,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0.6454422234891058,0.0,1.3399032725405775,-0.8649747001505389,0.6227750239381836,-1.451139050626572,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
0.6993782592071972,0.0,0.1781710039984154,-0.2811292196476039,0.6684606399562856,1.9452455262790287,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-1.6738073123888206,0.0,-1.072925285200836,-0.8649747001505389,-1.3417064648401995,-0.2943662342500296,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.2175343480003551,0.0,0.4462630659696836,-0.2811292196476039,-0.1081948323514472,-2.416814675421468,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.1096622765641724,0.0,0.1781710039984154,-0.2811292196476039,-0.0168236003152434,2.1959996290702817,3,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
-0.0017902051279898,0.0,1.3399032725405775,0.3027162608553311,0.0745476317209604,0.1797696437121329,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-1.943487490979277,0.0,-1.6091094091433722,-0.8649747001505389,-1.5701345449307091,-1.4991476715865324,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
0.5375701520529232,0.0,-1.6984734298004616,2.638098182867071,0.5314037919019797,0.4852166675294787,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
0.0521458305901014,0.0,0.8037191485980412,0.3027162608553311,0.1202332477390623,-0.9270908842682972,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-0.1096622765641724,0.0,-1.6984734298004616,0.886561741358266,-0.0168236003152434,1.537152665487263,3,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2.587139509340393,0.0,-2.502749615714266,-0.2811292196476039,2.267457200589853,0.2378298267963699,4,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
-1.1883829909259986,0.0,0.1781710039984154,0.886561741358266,-0.930535920677282,0.4196988288387027,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.4872145265908116,0.0,-0.9835612645437464,0.3027162608553311,-0.3366229124419569,-0.3034517354152271,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.541150562308903,0.0,1.1611752312263988,-0.2811292196476039,-0.3823085284600589,0.6819064171116849,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
0.3757620448986493,0.0,0.8930831692551305,-0.2811292196476039,0.394346943847674,-1.2371641244978338,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-1.24231902664409,0.0,-0.5367411612582996,-0.8649747001505389,-0.976221536695384,0.1147707807539378,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.7568947051812682,0.0,0.8037191485980412,0.3027162608553311,-1.2503352328039956,0.9613823004292424,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
0.6454422234891058,0.0,-1.072925285200836,2.638098182867071,0.6227750239381836,0.3252550317963747,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-0.1096622765641724,0.0,0.1781710039984154,-0.8649747001505389,-0.0168236003152434,-0.1947587489172945,3,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
-0.1096622765641724,0.0,-1.341017347172104,-0.2811292196476039,2.9070558248432805,0.5444124380276445,4,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
-1.080510919489816,0.0,0.2675350246555049,-0.8649747001505389,-1.2503352328039956,0.3373407754581883,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
1.885971045005206,0.0,0.2675350246555049,-0.8649747001505389,1.6735441923545282,-0.7422055758995112,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
-0.8647667766174508,0.0,0.1781710039984154,-0.8649747001505389,-1.11327838474969,-0.6333125073578838,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.9726388480536334,0.0,-1.072925285200836,-0.2811292196476039,-0.7477934566048744,-1.0303362498845812,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
-0.1096622765641724,0.0,0.1781710039984154,2.054252702364136,-0.0168236003152434,-0.1643126076431279,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
0.8072503306433798,0.0,1.1611752312263988,-0.8649747001505389,0.7598318719924895,-0.2804101110195394,2,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False
