,AQI_Value,CO_Value,Ozone_Value,NO2_Value,PM25_Value,VOCs,SO2
count,18770.0,18770.0,16900.0,18770.0,18770.0,18770.0,18770.0
mean,71.98172615876399,1.3784762919552478,35.37278106508876,43.13343778199254,68.49099627064464,185.0064262759025,4.4615381257230675
std,56.11072238917088,1.9327125289985536,28.422400649963063,196.1823023683291,54.71710504440836,140.65124764936925,6.077151133209797
min,7.0,0.0,0.0,0.0,0.0,12.41566979,-18.52801932
25%,39.0,1.0,21.0,0.0,35.0,103.09229825,0.7342230947499999
50%,55.0,1.0,31.0,1.0,54.0,142.81770799999998,4.286593284
75%,79.0,1.0,40.0,4.0,78.0,203.9697381,7.93625601025
max,500.0,133.0,222.0,1003.063334,500.0,1280.988229,234.6929712
