Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8465.0,India,Achhnera,50.0,Unhealthy,1.0,Good,45.0,Good,1.0,Good,50.0,L3,130.39634565,15.86839751,L3
8466.0,Russian Federation,Akhty,74.0,Moderate,1.0,Good,34.0,Good,0.0,Good,74.0,L1,196.0371324,4.353838145,L1
8467.0,India,Akola,50.0,Unhealthy,1.0,Good,31.0,Good,3.0,Good,50.0,L3,130.39634565,1.867125618,L3
8468.0,India,Akot,50.0,Unhealthy,1.0,Good,22.0,Good,4.0,Good,50.0,L3,130.39634565,13.42415203,L3
8469.0,Kazakhstan,Aktau,50.0,Unhealthy,1.0,Good,32.0,Good,1.0,Good,50.0,L3,130.39634565,3.288437072,L3
8470.0,India,Alampur,50.0,Unhealthy for Sensitive Groups,1.0,Good,38.0,Good,5.0,Good,50.0,L2,130.39634565,8.714115073,L2
8471.0,Canada,Aldergrove,73.0,Moderate,1.0,,18.0,Good,1.0,Good,73.0,L1,202.8755132,2.10008547,L1
8472.0,United Kingdom of Great Britain and Northern Ireland,Alloa,37.0,Good,1.0,Good,37.0,Good,1.0,Good,35.0,L0,90.91617282,-6.327696656,L0
8473.0,Brazil,Alpinopolis,36.0,Good,1.0,Good,24.0,Good,1.0,Good,36.0,L0,89.05496304,0.965004162,L0
8474.0,Germany,Altenburg,54.0,Moderate,1.0,Good,47.0,Good,0.0,Good,54.0,L1,144.7814058,-6.887243532,L1
8475.0,Chad,Am Timan,76.0,Moderate,1.0,Good,17.0,Good,0.0,Good,76.0,L1,189.2277127,2.615685666,L1
8476.0,Japan,Amagasaki,85.0,Moderate,1.0,Good,19.0,Good,1.0,Good,85.0,L1,219.0252588,12.94323507,L1
8477.0,Brazil,Amargosa,23.0,Good,1.0,Good,31.0,Good,0.0,Good,23.0,L0,46.98462579,-2.52642511,L0
8478.0,India,Anakapalle,101.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Good,1.0,Good,101.0,L2,279.6432994,-3.130219288,L2
8479.0,Chile,Ancud,32.0,Good,1.0,,23.0,Good,0.0,Good,32.0,L0,71.5229077,9.501284955,L0
8480.0,Brazil,Andrelandia,41.0,Good,1.0,Good,21.0,Good,0.0,Good,41.0,L0,104.282473,1.423226183,L0
8481.0,Madagascar,Antsohihy,15.0,Good,1.0,Good,15.0,Good,0.0,Good,14.0,L0,42.17518964,3.721308089,L0
8482.0,Brazil,Araci,22.0,Good,1.0,Good,22.0,Good,0.0,Good,13.0,L0,79.12688134,5.941399846,L0
8483.0,,Arenzano,69.0,Moderate,1.0,Good,31.0,Moderate,0.0,Good,42.0,L0,164.2515422,6.415863825,L0
8484.0,Russian Federation,Argayash,38.0,Good,1.0,Good,38.0,Good,1.0,Good,12.0,L0,119.8370414,7.552562098,L0
8485.0,Colombia,Ariguani,80.0,Moderate,1.0,Good,31.0,Good,0.0,Good,80.0,L1,212.5717682,8.302144948,L1
