Unnamed: 0,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,SO2
11006.0,India,Hajipur,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Moderate,2.0,Good,50.0,L2,1.218786079
11007.0,,Hamina,35.0,Good,1.0,Good,35.0,Good,0.0,Good,18.0,L0,3.530819877
11008.0,United States of America,Hamptons At Boca Raton,99.0,Moderate,1.0,Good,15.0,Good,1.0,Good,99.0,L1,4.920666968
11009.0,United States of America,Harper Woods,84.0,Moderate,1.0,Good,19.0,Good,1.0,Good,84.0,L1,1.623647645
11010.0,China,Heishan,73.0,Moderate,1.0,Good,31.0,Moderate,1.0,Good,47.0,L0,5.344614479
11011.0,Germany,Heppenheim,68.0,Moderate,1.0,,31.0,Good,3.0,Good,68.0,L1,-5.660626464
11012.0,Japan,Ina,50.0,Good,1.0,,39.0,Good,0.0,Good,50.0,L0,5.993043722
11013.0,Mozambique,Inhambane,38.0,Good,1.0,Good,24.0,Good,0.0,Good,38.0,L0,1.802536412
11014.0,United States of America,Inver Grove Heights,53.0,Moderate,1.0,Good,32.0,Good,4.0,Good,53.0,L1,2.513903041
11015.0,United Kingdom of Great Britain and Northern Ireland,Inverness,23.0,Good,1.0,Good,23.0,Good,1.0,Good,18.0,L0,8.058829011
11016.0,Tajikistan,Isfara,50.0,Unhealthy for Sensitive Groups,1.0,Good,31.0,Moderate,0.0,Good,50.0,L2,5.960167387
11017.0,Brazil,Itapetinga,35.0,Good,1.0,Good,6.0,Good,2.0,Good,35.0,L0,2.208304055
11018.0,United States of America,Jamestown,77.0,Moderate,1.0,Good,8.0,Good,1.0,Good,77.0,L1,0.017069854
11019.0,Colombia,Jamundi,69.0,Moderate,1.0,Good,3.0,Good,6.0,Good,69.0,L1,12.24330702
11020.0,India,Jangipur,84.0,Moderate,1.0,Good,31.0,Good,3.0,Good,84.0,L1,-1.10061001
11021.0,India,Jasidih,95.0,Moderate,1.0,Good,31.0,Moderate,1.0,Good,95.0,L1,8.746834513
11022.0,United States of America,Jersey City,70.0,Moderate,1.0,Good,20.0,Good,1.0,Good,70.0,L1,-2.386969721
11023.0,Uganda,Jinja,78.0,Moderate,1.0,Good,30.0,Good,0.0,Good,78.0,L1,10.18936652
11024.0,China,Jinji,51.0,Moderate,1.0,Good,29.0,Good,3.0,Good,51.0,L1,10.65300426
11025.0,China,Jinzhou,74.0,Moderate,1.0,,31.0,Moderate,1.0,Good,68.0,L1,-3.963054216
11026.0,Brazil,Joao Monlevade,89.0,Moderate,1.0,Good,0.0,Good,6.0,Good,89.0,L1,9.646675263
11027.0,Lithuania,Joniskis,39.0,Good,1.0,Good,39.0,Good,1.0,Good,29.0,L0,5.632518239
11028.0,El Salvador,Jucuapa,104.0,Unhealthy for Sensitive Groups,1.0,Good,5.0,Good,1.0,Good,104.0,L2,10.91524652
11029.0,Brazil,Jundiai,70.0,Moderate,1.0,Good,31.0,Good,6.0,Good,70.0,L1,7.426201375
11030.0,India,Kabrai,50.0,Unhealthy,1.0,,31.0,Unhealthy,0.0,Good,50.0,L3,2.588421536
11031.0,Portugal,Povoa De Varzim,28.0,Good,1.0,Good,28.0,Good,3.0,Good,18.0,L0,2.713835163
11032.0,United States of America,Poway,61.0,Moderate,1.0,Good,12.0,Good,1.0,Good,61.0,L1,13.92323268
11033.0,Brazil,Prado,19.0,Good,1.0,Good,19.0,Good,0.0,Good,17.0,L0,-3.53906738
11034.0,United States of America,Prescott,50.0,Good,1.0,Good,13.0,Good,5.0,Good,50.0,L0,5.414289792
11035.0,Poland,Prudnik,78.0,Moderate,1.0,Good,37.0,Good,1.0,Good,78.0,L1,9.55626937
11036.0,,Puerto Plata,50.0,Unhealthy for Sensitive Groups,1.0,Good,18.0,Good,2.0,Good,50.0,L2,-1.153764044
11037.0,Indonesia,Purbalingga,66.0,Moderate,1.0,Good,44.0,Good,1.0,Good,66.0,L1,-3.283933236
11038.0,Tunisia,Qibili,103.0,Unhealthy for Sensitive Groups,1.0,Good,44.0,Good,0.0,Good,103.0,L2,-2.530511668
11039.0,Israel,Qiryat Atta,98.0,Moderate,1.0,Good,40.0,Good,1.0,Good,98.0,L1,9.374856808
11040.0,Guatemala,Quetzaltenango,76.0,Moderate,1.0,Good,31.0,Good,1.0,Good,76.0,L1,-0.773018865
11041.0,Brazil,Quirinopolis,25.0,Good,1.0,Good,4.0,Good,0.0,Good,25.0,L0,3.123199797
11042.0,India,Rahatgarh,50.0,Unhealthy,1.0,Good,48.0,Good,0.0,Good,50.0,L3,10.65635698
11043.0,Italy,Rosarno,55.0,Moderate,1.0,,31.0,Good,1.0,Good,55.0,L1,3.543459378
11044.0,Spain,Rota,26.0,Good,1.0,Good,26.0,Good,2.0,Good,14.0,L0,-1.889063941
11045.0,Italy,Rovigo,73.0,Moderate,1.0,Good,42.0,Good,2.0,Good,73.0,L1,4.427048364
11046.0,United States of America,Royal Palm Beach,50.0,Unhealthy for Sensitive Groups,1.0,Good,14.0,Good,1.0,Good,114.0,L2,7.05663573
11047.0,Colombia,Sabanalarga,106.0,Unhealthy for Sensitive Groups,1.0,Good,12.0,Good,7.0,Good,106.0,L2,7.863288194
